,original_title,runtime,vote_average,release_year,genre
88,Equals,101,5.6,2015,Science Fiction
89,Child 44,137,5.9,2015,Crime
89,Child 44,137,5.9,2015,Thriller
90,The Gift,108,6.6,2015,Thriller
90,The Gift,108,6.6,2015,Mystery
91,Daddy's Home,96,5.7,2015,Comedy
93,Vice,96,4.1,2015,Thriller
93,Vice,96,4.1,2015,Science Fiction
93,Vice,96,4.1,2015,Action
93,Vice,96,4.1,2015,Adventure
94,The Little Prince,92,7.5,2015,Adventure
94,The Little Prince,92,7.5,2015,Animation
94,The Little Prince,92,7.5,2015,Fantasy
95,Alvin and the Chipmunks: The Road Chip,92,5.7,2015,Adventure
95,Alvin and the Chipmunks: The Road Chip,92,5.7,2015,Animation
95,Alvin and the Chipmunks: The Road Chip,92,5.7,2015,Comedy
95,Alvin and the Chipmunks: The Road Chip,92,5.7,2015,Family
96,The Dressmaker,118,6.9,2015,Drama
97,The DUFF,100,6.8,2015,Romance
97,The DUFF,100,6.8,2015,Comedy
98,Sinister 2,97,5.5,2015,Horror
99,Paul Blart: Mall Cop 2,94,5.3,2015,Action
99,Paul Blart: Mall Cop 2,94,5.3,2015,Adventure
99,Paul Blart: Mall Cop 2,94,5.3,2015,Comedy
99,Paul Blart: Mall Cop 2,94,5.3,2015,Family
100,Frozen Fever,8,7.0,2015,Adventure
100,Frozen Fever,8,7.0,2015,Animation
100,Frozen Fever,8,7.0,2015,Family
101,High-Rise,119,5.4,2015,Action
101,High-Rise,119,5.4,2015,Drama
101,High-Rise,119,5.4,2015,Science Fiction
102,The Boy Next Door,91,3.9,2015,Thriller
103,Spooks: The Greater Good,104,5.6,2015,Thriller
103,Spooks: The Greater Good,104,5.6,2015,Action
104,Entourage,104,6.2,2015,Comedy
105,The Wedding Ringer,101,6.5,2015,Comedy
106,Scouts Guide to the Zombie Apocalypse,93,6.2,2015,Comedy
106,Scouts Guide to the Zombie Apocalypse,93,6.2,2015,Horror
107,The Visit,94,5.9,2015,Horror
107,The Visit,94,5.9,2015,Thriller
108,Black Mass,122,6.3,2015,Crime
108,Black Mass,122,6.3,2015,Drama
109,Heist,93,5.4,2015,Crime
109,Heist,93,5.4,2015,Action
109,Heist,93,5.4,2015,Thriller
110,Krampus,98,5.9,2015,Horror
110,Krampus,98,5.9,2015,Comedy
110,Krampus,98,5.9,2015,Fantasy
111,Dark Places,113,5.7,2015,Drama
111,Dark Places,113,5.7,2015,Mystery
111,Dark Places,113,5.7,2015,Thriller
112,No Escape,103,6.7,2015,Action
112,No Escape,103,6.7,2015,Thriller
113,Dope,103,7.3,2015,Crime
113,Dope,103,7.3,2015,Drama
113,Dope,103,7.3,2015,Comedy
114,American Ultra,96,5.9,2015,Comedy
114,American Ultra,96,5.9,2015,Action
115,Woman in Gold,120,7.3,2015,Drama
116,The Scorpion King: The Lost Throne,105,4.5,2015,Action
116,The Scorpion King: The Lost Throne,105,4.5,2015,Fantasy
116,The Scorpion King: The Lost Throne,105,4.5,2015,Adventure
117,Sisters,118,5.9,2015,Comedy
118,Project Almanac,106,6.3,2015,Science Fiction
118,Project Almanac,106,6.3,2015,Thriller
119,Absolutely Anything,85,5.8,2015,Comedy
119,Absolutely Anything,85,5.8,2015,Science Fiction
120,The Transporter Refueled,96,5.3,2015,Thriller
120,The Transporter Refueled,96,5.3,2015,Action
120,The Transporter Refueled,96,5.3,2015,Crime
121,Crimson Peak,119,6.4,2015,Mystery
121,Crimson Peak,119,6.4,2015,Thriller
121,Crimson Peak,119,6.4,2015,Fantasy
121,Crimson Peak,119,6.4,2015,Horror
121,Crimson Peak,119,6.4,2015,Drama
122,Everly,90,5.1,2015,Thriller
122,Everly,90,5.1,2015,Action
123,Magic Mike XXL,115,6.3,2015,Comedy
123,Magic Mike XXL,115,6.3,2015,Drama
123,Magic Mike XXL,115,6.3,2015,Music
124,Paranormal Activity: The Ghost Dimension,88,5.0,2015,Horror
